session;joueur;BP_periode;BP_traitement;BP_groupe;BP_dotation;BP_contribution;BP_contribution_groupe;BP_decision_time;BP_gain_periode;BP_gain_cumule;naissance;genre;nationalite;couple;etudiant;etudiant_discipline;etudiant_niveau;experiences;fratrie_nombre;fratrie_rang;sportif;sportif_type;sportif_competition;religion_place;religion_croyance;religion_nom
201501201125;201501201125_j_34;1;0;201501201125_g_0;20;16;52;0;24.8;24.8;1968;0;77;0;1;6;3;0;8;9;1;1;0;3;1;4
201501201125;201501201125_j_34;2;0;201501201125_g_0;20;2;28;0;29.2;54.0;1968;0;77;0;1;6;3;0;8;9;1;1;0;3;1;4
201501201125;201501201125_j_34;3;0;201501201125_g_0;20;12;41;0;24.4;78.4;1968;0;77;0;1;6;3;0;8;9;1;1;0;3;1;4
201501201125;201501201125_j_34;4;0;201501201125_g_0;20;0;21;0;28.4;106.8;1968;0;77;0;1;6;3;0;8;9;1;1;0;3;1;4
201501201125;201501201125_j_34;5;0;201501201125_g_0;20;15;43;0;22.2;129.0;1968;0;77;0;1;6;3;0;8;9;1;1;0;3;1;4
201501201125;201501201125_j_34;6;0;201501201125_g_0;20;8;39;0;27.6;156.6;1968;0;77;0;1;6;3;0;8;9;1;1;0;3;1;4
201501201125;201501201125_j_34;7;0;201501201125_g_0;20;0;38;0;35.2;191.8;1968;0;77;0;1;6;3;0;8;9;1;1;0;3;1;4
201501201125;201501201125_j_34;8;0;201501201125_g_0;20;13;40;0;23.0;214.8;1968;0;77;0;1;6;3;0;8;9;1;1;0;3;1;4
201501201125;201501201125_j_34;9;0;201501201125_g_0;20;9;40;0;27.0;241.8;1968;0;77;0;1;6;3;0;8;9;1;1;0;3;1;4
201501201125;201501201125_j_34;10;0;201501201125_g_0;20;3;46;0;35.4;277.2;1968;0;77;0;1;6;3;0;8;9;1;1;0;3;1;4
201501201125;201501201125_j_34;11;0;201501201125_g_0;20;2;28;0;29.2;306.4;1968;0;77;0;1;6;3;0;8;9;1;1;0;3;1;4
201501201125;201501201125_j_34;12;0;201501201125_g_0;20;16;52;0;24.8;331.2;1968;0;77;0;1;6;3;0;8;9;1;1;0;3;1;4
201501201125;201501201125_j_34;13;0;201501201125_g_0;20;15;41;0;21.4;352.6;1968;0;77;0;1;6;3;0;8;9;1;1;0;3;1;4
201501201125;201501201125_j_34;14;0;201501201125_g_0;20;6;42;0;30.8;383.4;1968;0;77;0;1;6;3;0;8;9;1;1;0;3;1;4
201501201125;201501201125_j_34;15;0;201501201125_g_0;20;20;50;0;20.0;403.4;1968;0;77;0;1;6;3;0;8;9;1;1;0;3;1;4
